,ISO3,FBS Code2,EnergyI-BaU_high,EnergyI-HalfW_high
690,IRL,2511.0,3.121137170969143e-09,2.5620695050899073e-09
691,IRL,2731.0,1.4397002910189526e-08,1.2733525039673945e-08
692,IRL,2735.0,7.753271241306259e-08,6.857432349387325e-08
693,IRL,2903.0,3.266229974988168e-08,2.9393130015742404e-08
694,IRL,2905.0,5.831145656753855e-10,4.786652956450345e-10
695,IRL,2907.0,2.249607674607411e-09,1.6280220233832715e-09
697,IRL,2913.0,7.751138062957387e-09,6.975326618123439e-09
698,IRL,2918.0,9.749208208889138e-09,7.56715494119435e-09
699,IRL,2919.0,6.095610726155865e-08,4.731300207946164e-08
701,ISL,960.0,2.5186505665698454e-09,2.359283055862809e-09
702,ISL,976.0,1.7439238394842418e-08,1.542425046093471e-08
703,ISL,1049.0,6.076221373174763e-10,5.374154432320268e-10
704,ISL,1052.0,6.882938039742722e-10,6.087660356973177e-10
705,ISL,1053.0,5.737563888560301e-13,5.074626566200356e-13
706,ISL,2731.0,1.7978933488223448e-08,1.59015873780852e-08
707,ISL,2735.0,1.0626320698276153e-07,9.39852006248734e-08
708,ISL,2905.0,1.629280931557125e-09,1.3374391323758504e-09
709,ISL,2907.0,3.779720000354343e-09,2.7353513558193948e-09
710,ISL,2918.0,7.059874325875978e-08,5.479743764273424e-08
711,ISL,2919.0,4.51528467367605e-06,3.504680379905441e-06
713,ITA,946.0,1.0927767250091031e-08,9.665136471444334e-09
714,ITA,960.0,1.9918842741198687e-09,1.865847878838844e-09
715,ITA,976.0,7.663034329230338e-09,6.777621711951922e-09
716,ITA,1016.0,2.18777936961682e-08,1.9349960236919283e-08
717,ITA,1049.0,1.1871208363327077e-09,1.0499569242889187e-09
718,ITA,1052.0,3.0816014868457953e-09,2.725542943891148e-09
719,ITA,1053.0,1.5198683784906279e-09,1.3442577024709564e-09
720,ITA,2511.0,6.590255980024341e-10,5.40978910962568e-10
721,ITA,2514.0,3.9678475266302326e-10,3.2571145040924694e-10
722,ITA,2555.0,5.137266467231123e-10,4.623077442591442e-10
723,ITA,2731.0,5.842999441750448e-09,5.1678797429201025e-09
724,ITA,2735.0,8.154753137153717e-09,7.212525684134874e-09
725,ITA,2805.0,2.161969675158386e-09,1.774711033905788e-09
726,ITA,2903.0,6.866396074433703e-09,6.179138459353103e-09
727,ITA,2905.0,1.3487083672971435e-09,1.1071235866377026e-09
728,ITA,2907.0,1.2342086313937897e-09,8.931863346836559e-10
730,ITA,2913.0,7.510825858152287e-10,6.759067263016894e-10
731,ITA,2918.0,4.022552358979081e-10,3.122230678354741e-10
732,ITA,2919.0,2.422503739808311e-10,1.8803025591389033e-10
734,LTU,960.0,2.085935317593379e-09,1.9539478464161105e-09
735,LTU,976.0,1.7652992579801134e-07,1.561330677241052e-07
736,LTU,1016.0,2.392354791614675e-08,2.115934117179975e-08
737,LTU,1049.0,2.5275288282886996e-09,2.2354896935342923e-09
738,LTU,1052.0,7.554443988907212e-09,6.681578262756492e-09
739,LTU,1053.0,5.254455579910143e-09,4.647338207404689e-09
740,LTU,2511.0,3.8958056428413856e-10,3.197976983556222e-10
741,LTU,2514.0,8.209156528538703e-09,6.738707225016955e-09
742,LTU,2731.0,1.1053148515988393e-08,9.776030766511824e-09
743,LTU,2735.0,1.2087655760788739e-08,1.0691007584087246e-08
744,LTU,2903.0,2.138239582713322e-09,1.92422317291749e-09
745,LTU,2905.0,3.202221573894543e-10,2.6286298209920386e-10
746,LTU,2907.0,9.422608237250186e-10,6.81906178624369e-10
748,LTU,2913.0,4.0837222946125185e-10,3.674982511118694e-10
749,LTU,2918.0,3.821033707344617e-09,2.965815631328853e-09
750,LTU,2919.0,1.159429797275493e-08,8.999279460891632e-09
752,LVA,960.0,2.2487693330817317e-09,2.1064785462912335e-09
