,ISO3,FBS Code2,EnergyI-BaU_low,EnergyI-HalfW_low,ProteinI-BaU_low,ProteinI-HalfW_low,IronI-BaU_low,IronI-HalfW_low,ZincI-BaU_low,ZincI-HalfW_low,Vitamin AI-BaU_low,Vitamin AI-HalfW_low,Vitamin BI-BaU_low,Vitamin BI-HalfW_low,FolateI-BaU_low,FolateI-HalfW_low
1558,MLI,1016.0,5.768963918953949e-09,4.880014977508559e-09,7.913490877615955e-08,6.694088323253991e-08,8.521001558991933e-07,7.207986705313686e-07,5.630185695686866e-07,4.76262131417322e-07,9.47837322461625e-09,8.017835429092172e-09,1.7190654438365804e-06,1.454171880964208e-06,2.929656395487564e-07,2.4782209231645524e-07
1559,MLI,1049.0,5.1337041364646805e-09,4.3426433980172845e-09,1.0383540154439831e-07,8.783523728887513e-08,3.6721083705535597e-07,3.106267277640599e-07,6.396090249535004e-07,5.410506401795445e-07,5.202153524950877e-07,4.400545309990848e-07,2.6907691420557206e-06,2.276144191352601e-06,5.202153524950877e-07,4.400545309990848e-07
1560,MLI,1052.0,1.5662298192129946e-09,1.3248869438874622e-09,1.7832074575224678e-08,1.508430148457662e-08,1.279833509414047e-07,1.0826219027194691e-07,1.7362083005470333e-07,1.4686731672748112e-07,1.399817900921614e-09,1.1841177060994197e-09,2.516526603903128e-07,2.1287509665293237e-07,4.765337535052302e-09,4.031038999487385e-09
1561,MLI,1053.0,1.4965390551643473e-09,1.2659349419111562e-09,1.2270933390775014e-08,1.0380085501704793e-08,2.6098181311608423e-07,2.2076670521017298e-07,1.4558168756692258e-07,1.2314877086393247e-07,inf,inf,3.8215193567389364e-07,3.2326552843316115e-07,2.140050848885017e-07,1.810286966932953e-07
1562,MLI,2731.0,1.915738814498134e-08,1.6205395351892845e-08,3.2857083752334296e-07,2.779408279913779e-07,2.002753950693169e-06,1.6941463689062673e-06,1.5412666864036699e-06,1.3037704204169657e-06,inf,inf,2.0827165115103817e-06,1.761787369943884e-06,8.443197663060556e-07,7.142171737013021e-07
1563,MLI,2735.0,7.731873031185763e-09,6.540456263283871e-09,1.1137071644872645e-07,9.42094233836345e-08,1.0344005977718435e-06,8.750081437128673e-07,9.813852146408914e-07,8.301619863522033e-07,1.3445455328500672e-08,1.1373623462426322e-08,1.1797879391503402e-06,9.979925155055517e-07,4.1508047268710603e-07,3.5112005414512964e-07
1564,NER,960.0,9.955926681529596e-09,8.615628154484901e-09,1.9279730450372117e-07,1.6684231794039863e-07,2.0243718038259204e-05,1.751844430568704e-05,1.641382485801578e-06,1.4204143531095015e-06,1.3202424512463158e-08,1.142507211790389e-08,1.3495812081368155e-06,1.1678962918799724e-06,1.2146230551466108e-07,1.051106634847158e-07
1565,NER,976.0,6.534442782299385e-09,5.5275399699632345e-09,1.0946364543818355e-07,9.25962160165291e-08,1.8400826623097879e-06,1.556541361339249e-06,8.156255663904702e-07,6.899445092639984e-07,5.137270180943314e-09,4.345659944958931e-09,3.350104868433093e-07,2.8338818137628805e-07,6.821979543952515e-08,5.770769728922452e-08
1566,NER,1016.0,7.89643673392507e-09,6.679662080030892e-09,1.0037153394438835e-07,8.490512262606402e-08,1.1930352259732352e-06,1.0091985065665601e-06,7.111362830176515e-07,6.015561478507502e-07,1.2639909069872231e-08,1.0692205124158127e-08,2.4354664417458006e-06,2.0601814953098265e-06,3.7926211565539796e-07,3.208210054354994e-07
1567,NER,1049.0,5.111571893087317e-09,4.323921547666904e-09,1.0338775004032282e-07,8.745656512602536e-08,3.656277307055399e-07,3.092875648213503e-07,6.368515651875433e-07,5.387180818299356e-07,5.179726184995149e-07,4.381573834969129e-07,2.679168793468962e-06,2.266331359162455e-06,5.179726184995149e-07,4.381573834969129e-07
