,ISO3,Supply-BaU2,Energy-mod (kcal/year),EnM2030,BaU_needed2030
145,UKR,53625507711041.99,40459757371665.83,36816722115054.586,-16808785595987.406
146,URY,7105389655701.183,2944777372899.1245,3093310172803.891,-4012079482897.2915
147,USA,599862819719166.1,298539583982510.56,328661037599669.7,-271201782119496.44
148,VCT,206236834887.40634,96517585890.5863,99092246370.29727,-107144588517.10907
149,VEN,30760195913291.027,26745973180243.316,32256850095529.54,1496654182238.5117
150,VUT,701747501856.5117,226047115952.26538,315910292414.8863,-385837209441.6254
151,YEM,17128912498227.215,20740827752122.24,29777458090236.0,12648545592008.785
152,ZAF,38293900300669.96,45510440631090.09,54356990085419.79,16063089784749.828
153,ZMB,9023127988960.41,12200334521731.094,19670863879560.344,10647735890599.934
154,ZWE,5971348115601.879,12178699298486.842,17508294107646.14,11536945992044.262
