,ISO3,FBS Code2,EnergyI-BaU,EnergyI-HalfW
1596,CAN,960.0,1.3520710496557043e-09,1.2076280775428968e-09
1597,CAN,976.0,4.9928366775279343e-08,4.384507179050934e-08
1598,CAN,1049.0,1.2184209433529444e-09,1.0699679797821923e-09
1599,CAN,1052.0,3.5655095563753795e-09,3.131086245473348e-09
1600,CAN,1053.0,1.1517180784328143e-09,1.0113922223531753e-09
1601,CAN,2731.0,7.191338511427426e-09,6.315142546571433e-09
1602,CAN,2735.0,1.4126635204467698e-08,1.2405439526711965e-08
1603,USA,960.0,1.208329016217977e-09,1.0792421354382181e-09
1604,USA,976.0,5.21951447504933e-08,4.5835664503139595e-08
1605,USA,1016.0,2.7936060199071905e-07,2.4532317880238644e-07
1606,USA,1049.0,1.2775175748919435e-09,1.12186425077513e-09
1607,USA,1052.0,1.903934605662252e-09,1.6719583447505931e-09
1608,USA,1053.0,5.019965089107768e-10,4.408330252588145e-10
1609,USA,2731.0,5.098551666816364e-09,4.477341805818239e-09
1610,USA,2735.0,2.4893528332665086e-08,2.186048948441039e-08
1611,BLZ,960.0,5.9376779749039655e-09,5.255220880961339e-09
1612,BLZ,976.0,5.9243380945757614e-08,5.2726910296685874e-08
1613,BLZ,1016.0,9.322771310446811e-07,8.297313872962646e-07
1614,BLZ,1049.0,1.6844504673912102e-09,1.4991694814761748e-09
1615,BLZ,1052.0,1.579526028637264e-09,1.4057861974401949e-09
1616,BLZ,1053.0,2.2549590801057536e-10,2.006925047851232e-10
1617,BLZ,2731.0,3.868604611835298e-08,3.4430777765425946e-08
1618,CRI,960.0,3.059848572920326e-09,2.708159684805191e-09
1619,CRI,976.0,5.968482182250741e-08,5.31197949217377e-08
1620,CRI,1016.0,6.090084078045148e-08,5.420205797781297e-08
1621,CRI,1049.0,4.822005581016063e-10,4.291609487195536e-10
1622,CRI,1052.0,1.8307149403894474e-10,1.629345606205301e-10
1623,CRI,1053.0,3.019193927857083e-10,2.687097948514682e-10
1624,CRI,2731.0,4.00209143089045e-09,3.5618817242874933e-09
1625,GTM,960.0,5.503806075392721e-09,4.871216784476006e-09
1626,GTM,976.0,2.7165955250206775e-08,2.4177838312653e-08
1627,GTM,1016.0,1.6654369448045198e-08,1.4822473496894975e-08
1628,GTM,1049.0,2.4064493180467838e-09,2.1417521299526676e-09
1629,GTM,1052.0,3.765298005208473e-10,3.351134371326493e-10
1630,GTM,1053.0,2.7941963271819455e-10,2.486848939792011e-10
1631,GTM,2731.0,2.0102498999330904e-08,1.789132633141593e-08
1632,GTM,2735.0,4.228823980530187e-08,3.7636748464109436e-08
1633,HND,960.0,2.4384139038651557e-09,2.1581506639766667e-09
1634,HND,976.0,3.3238762623192944e-08,2.958266775507907e-08
1635,HND,1016.0,3.3786081167712065e-08,3.006978404283778e-08
1636,HND,1049.0,2.1675037232122697e-09,1.9290893355020437e-09
1637,HND,1052.0,3.845204121417857e-10,3.4222512210786423e-10
1638,HND,1053.0,5.108017254680006e-10,4.5461613311372445e-10
1639,HND,2731.0,2.3855815839157125e-08,2.1231797404627512e-08
1640,HND,2735.0,2.680878079686104e-07,2.385995123292892e-07
1641,MEX,960.0,9.0230383283539e-10,7.985960106508948e-10
1642,MEX,976.0,1.2648692763882693e-08,1.1257400878964198e-08
1643,MEX,1016.0,1.30345392556604e-08,1.1600806218691198e-08
1644,MEX,1049.0,1.0411156221045143e-09,9.265981977875962e-10
1645,MEX,1052.0,7.502644264779273e-10,6.677391546899713e-10
1646,MEX,1053.0,6.05663582046678e-10,5.390436678450822e-10
1647,MEX,2731.0,1.1896073186595682e-08,1.0587565628078104e-08
1648,MEX,2735.0,7.305145916520919e-08,6.50161701266278e-08
1649,NIC,960.0,5.258379763199266e-09,4.653998961948802e-09
1650,NIC,976.0,1.1762463550871611e-07,1.0468652372873338e-07
1651,NIC,1016.0,1.0802625617328394e-07,9.614391731205594e-08
1652,NIC,1049.0,3.9806002349286255e-09,3.542754450597879e-09
1653,NIC,1052.0,7.197953076754505e-10,6.406214840190792e-10
1654,NIC,1053.0,4.248474056456249e-10,3.78116351390656e-10
1655,NIC,2731.0,2.7693290854884293e-08,2.464716968233863e-08
1656,NIC,2735.0,8.724249727358918e-08,7.764626620508234e-08
1657,PAN,960.0,2.7204704064908717e-09,2.40778852383948e-09
1658,PAN,1049.0,7.415355028957301e-10,6.599703683148905e-10
1659,PAN,1052.0,6.156171592208321e-10,5.479024021444173e-10
1660,PAN,1053.0,3.1744480380609123e-10,2.8252748960694506e-10
1661,PAN,2731.0,1.2766641762531748e-08,1.136237608753723e-08
1662,SLV,960.0,1.7513584230106252e-09,1.5500630707076732e-09
1663,SLV,976.0,7.287836564489712e-08,6.486211601336257e-08
1664,SLV,1016.0,5.517551840876374e-08,4.910649195351763e-08
1665,SLV,1049.0,1.3288860142534597e-09,1.1827153101241114e-09
1666,SLV,1052.0,3.2711598398212407e-10,2.911348891419523e-10
1667,SLV,1053.0,2.380896819497155e-10,2.1190102763080206e-10
1668,SLV,2731.0,1.6728185111660114e-08,1.4888169812867852e-08
1669,BHS,960.0,3.2994836454812023e-09,2.920251893654387e-09
1670,BHS,976.0,1.7370866218187304e-08,1.546015926573618e-08
1671,BHS,1016.0,2.4903809268287935e-09,2.2164516885642436e-09
1672,BHS,1049.0,6.723719331789431e-10,5.984144395674316e-10
1673,BHS,1052.0,2.6513873893186726e-10,2.359748258904538e-10
1674,BHS,1053.0,5.054820208148951e-10,4.4988156892154964e-10
1675,BHS,2731.0,8.128639312340422e-10,7.23453032243899e-10
1676,BRB,960.0,1.4876470611118925e-09,1.3166618216917414e-09
1677,BRB,976.0,1.1506888221674793e-08,1.0241189030277399e-08
1678,BRB,1016.0,2.2221687933501907e-08,1.977741525898861e-08
1679,BRB,1049.0,4.767304217959714e-10,4.242924995916766e-10
1680,BRB,1052.0,1.0799231479635542e-09,9.61137093139963e-10
1681,BRB,1053.0,2.6839999415413266e-10,2.3887735962188316e-10
1682,BRB,2731.0,1.5382038113661777e-08,1.3690092139438008e-08
1683,GRD,960.0,3.982476999971554e-09,3.5247442479460626e-09
1684,GRD,976.0,1.1522239269232004e-08,1.025485154066401e-08
1685,GRD,1016.0,2.771857396885766e-08,2.4669671782340577e-08
1686,GRD,1049.0,6.629083078260705e-10,5.899917648804615e-10
1687,GRD,1052.0,2.7593225239262343e-10,2.455811077559744e-10
1688,GRD,1053.0,2.5413478181760695e-10,2.2618124810320007e-10
1689,GRD,2731.0,1.68352676436405e-08,1.4983473810849352e-08
1690,JAM,960.0,2.3109892020576046e-09,2.045371736503735e-09
1691,JAM,976.0,1.971489116503803e-08,1.7546353387893934e-08
1692,JAM,1016.0,8.185466175003389e-10,7.285106519175902e-10
1693,JAM,1049.0,1.1125182937467452e-09,9.901469386346228e-10
1694,JAM,1052.0,4.6366701235796657e-10,4.126659987638928e-10
1695,JAM,1053.0,1.811839019303777e-10,1.612545940454241e-10
1696,JAM,2731.0,9.999257597514362e-09,8.899390108412595e-09
1697,JAM,2735.0,3.181111141360883e-07,2.8312050918885706e-07
1698,LCA,960.0,2.3770226190914854e-09,2.1038154906959267e-09
1699,LCA,976.0,7.651704390053552e-09,6.810055816370521e-09
1700,LCA,1016.0,2.5649281163907702e-08,2.2827990663498435e-08
1701,LCA,1049.0,1.5092637837493987e-09,1.3432524422036693e-09
1702,LCA,1052.0,1.992420105802561e-10,1.7732640257002058e-10
1703,LCA,1053.0,3.8491871436333745e-10,3.42579613110428e-10
1704,LCA,2731.0,1.44173031624589e-08,1.2831473127151634e-08
1705,TTO,960.0,3.9719187128701475e-09,3.51539949548946e-09
1706,TTO,976.0,1.4097224574974007e-08,1.254660155667766e-08
1707,TTO,1016.0,8.641353949050219e-09,7.690848956285143e-09
1708,TTO,1049.0,6.707241503024922e-10,5.969479044283486e-10
1709,TTO,1052.0,7.17430999896144e-10,6.38517238072897e-10
