,ISO3,FBS Code2,EnergyI-BaU_high,EnergyI-HalfW_high,ProteinI-BaU_high,ProteinI-HalfW_high,IronI-BaU_high,IronI-HalfW_high,ZincI-BaU_high,ZincI-HalfW_high,Vitamin AI-BaU_high,Vitamin AI-HalfW_high,Vitamin BI-BaU_high,Vitamin BI-HalfW_high,FolateI-BaU_high,FolateI-HalfW_high
316,PHL,976.0,1.823465184361938e-06,1.6291881114661463e-06,2.5107088198479745e-05,2.2432108908516545e-05,0.00016284877369868896,0.0001454984105822574,0.000122820930351647,0.00010973524544595722,3.0404203381493705e-07,2.7164854647368125e-07,2.2508423411616388e-05,2.0110313124998507e-05,7.399080280287775e-06,6.610761604777511e-06
317,PHL,1016.0,2.8472305901599402e-08,2.5438786919940383e-08,2.390199556336167e-07,2.1355410208049294e-07,1.2297415043261484e-06,1.0987214103162098e-06,1.1671362922611292e-06,1.0427863323740243e-06,inf,inf,2.9050515411790964e-06,2.59553923742257e-06,9.044552866559742e-07,8.080920946610955e-07
318,PHL,1049.0,9.77693865449079e-10,8.735276307457368e-10,1.9775045933268595e-08,1.7668157316341382e-08,6.993386708153412e-08,6.248291758745977e-08,1.2181103611739205e-07,1.0883294816361995e-07,9.907297836550667e-08,8.851746658223465e-08,5.124464545670568e-07,4.57848978254971e-07,9.907297836550667e-08,8.851746658223465e-08
319,PHL,1052.0,5.6996394396622894e-09,5.092383937119494e-09,6.489238954154278e-08,5.797857314325719e-08,4.6574196564097563e-07,4.1612051600462164e-07,6.318205147083313e-07,5.645045926683946e-07,5.094052749198172e-09,4.551318143800549e-09,9.157847786203526e-07,8.182145109131914e-07,1.7341456167483136e-08,1.549384900017208e-08
320,PHL,1053.0,1.7566032732918407e-09,1.5694498551180133e-09,1.4548583303309377e-08,1.2998536610239906e-08,2.853605599807712e-07,2.549574490311277e-07,1.7429589274196692e-07,1.5572592159578514e-07,4.4370329209691435e-07,3.964299042844795e-07,4.508919324636059e-07,4.028526468317235e-07,1.7834070294991757e-07,1.5933978642876582e-07
321,PHL,2514.0,4.868960305217317e-10,4.361900791181334e-10,1.886592884300169e-08,1.690120781195954e-08,6.557824673019206e-08,5.8748847467537987e-08,8.04149538791154e-08,7.204044168778006e-08,3.23121911164422e-08,2.8947159796021578e-08,inf,inf,1.8707058014782322e-08,1.6758881987170386e-08
322,PHL,2555.0,8.794080541656081e-10,7.508004026361322e-10,9.982469951069455e-09,8.522599290584422e-09,3.641492554894178e-08,3.108948187886576e-08,1.305787704212608e-07,1.1148248295387036e-07,1.4363664884704934e-08,1.2263073243056826e-08,inf,inf,7.834726300748143e-10,6.688949041667359e-10
323,PHL,2731.0,1.7185947261967523e-08,1.535490844771958e-08,2.936298809837342e-07,2.623457334817786e-07,1.9179648622539023e-06,1.7136195297785512e-06,1.3859855304807627e-06,1.238318761601957e-06,inf,inf,1.8692525546754576e-06,1.6700971674820345e-06,7.491107187873123e-07,6.692983708637153e-07
324,PHL,2735.0,8.849144654994382e-09,7.906332071596843e-09,1.1312298348392881e-07,1.0107054491971962e-07,4.0690504042264656e-07,3.635522411052759e-07,1.0421717459181312e-06,9.31135857770632e-07,9.035533088231204e-09,8.072862160653896e-09,4.6414060791628816e-07,4.1468977140382553e-07,2.1694413309900068e-08,1.9383029932699098e-08
325,PHL,2805.0,2.201768675857951e-09,1.9724737782175083e-09,1.1178685103332235e-07,1.001452308911677e-07,9.96300310979691e-07,8.925443713434748e-07,6.871036927544293e-07,6.155478691904004e-07,inf,inf,inf,inf,8.856002896228643e-08,7.933727863497087e-08
