,ISO3,FBS Code2,EnergyI-BaU_low,EnergyI-HalfW_low,ProteinI-BaU_low,ProteinI-HalfW_low,IronI-BaU_low,IronI-HalfW_low,ZincI-BaU_low,ZincI-HalfW_low,Vitamin AI-BaU_low,Vitamin AI-HalfW_low,Vitamin BI-BaU_low,Vitamin BI-HalfW_low,FolateI-BaU_low,FolateI-HalfW_low
640,GRC,2907.0,3.307065521171925e-11,2.393295311894307e-11,1.2440218590183521e-09,9.002880844125496e-10,3.1486213880898175e-09,2.278630634561822e-09,8.492352720463033e-09,6.1458437465837e-09,8.451579151911898e-10,6.116336260312894e-10,inf,inf,1.7003985122172593e-10,1.2305640035216152e-10
641,GRC,2908.0,4.277689823956075e-11,3.8495358295465605e-11,1.3546018078638006e-07,1.2190197066036248e-07,2.289467862295718e-08,2.0603150132919114e-08,5.418407231455201e-07,4.876078826414497e-07,inf,inf,inf,inf,1.625522133103309e-08,1.4628236152276929e-08
642,GRC,2913.0,1.204180651186274e-11,1.0836542041987637e-11,1.0284190101764068e-09,9.254845466564473e-10,8.876971587016031e-10,7.988475459513797e-10,5.478157441068655e-09,4.929848637269364e-09,9.351896341792586e-11,8.415864993372092e-11,inf,inf,1.6754292288124539e-10,1.5077355094947927e-10
643,GRC,2918.0,1.880537218673592e-11,1.459638177940525e-11,4.48561020551284e-10,3.481647607030224e-10,1.3448685995188622e-09,1.0438621116766432e-09,2.5978202631199577e-09,2.0163799991961513e-09,1.0719034154032959e-11,8.31991588707323e-12,inf,inf,2.3058110205784232e-11,1.789727830606927e-11
644,GRC,2919.0,1.8663650607279397e-11,1.4486380112882168e-11,1.1763902444122378e-09,9.130923311967315e-10,3.768121898398619e-09,2.924746464691488e-09,9.01022849400127e-09,6.993572565975667e-09,9.805646554316134e-11,7.61096134016748e-11,inf,inf,2.2204897115732604e-10,1.7235030099657073e-10
645,GRC,2960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646,HRV,960.0,1.3523288863647693e-09,1.2667603318627112e-09,2.6187955419292977e-08,2.4530913620373063e-08,2.749735463736408e-06,2.5757460656932574e-06,2.229515162300953e-07,2.0884426823723871e-07,1.7933056971358898e-09,1.679834353122291e-09,1.833156983412097e-07,1.7171640509032102e-07,1.6498412413650186e-08,1.5454476048725074e-08
647,HRV,976.0,1.3835468724214869e-08,1.2236872391734242e-08,2.1287515721033124e-07,1.882788495335934e-07,2.091402381687002e-06,1.8497547553037608e-06,1.371745339811413e-06,1.2132492951142098e-06,3.5263548989725638e-09,3.1189080591950027e-09,2.6433856327395827e-07,2.3379600152877036e-07,7.820349664216196e-08,6.916760306954175e-08
648,HRV,1016.0,9.976215495890691e-09,8.82353018962021e-09,1.5319910658299637e-07,1.3549796939678338e-07,2.487918303313305e-06,2.2004559011015744e-06,2.4211683578566617e-06,2.1414184676043933e-06,inf,inf,7.144094646816091e-06,6.318642056163599e-06,1.9077513880745135e-06,1.687323411758604e-06
649,HRV,1049.0,1.2880553578806394e-09,1.139229133617185e-09,2.6052484082001206e-08,2.3042292932307403e-08,9.213384206957986e-08,8.148838979285277e-08,1.6047902443157003e-07,1.419367411876798e-07,1.3052294293190479e-07,1.1544188553987474e-07,6.751186897637467e-07,5.971132182500451e-07,1.3052294293190479e-07,1.1544188553987474e-07
650,HRV,1052.0,2.844115670998757e-09,2.515497033536057e-09,3.238125217875065e-08,2.863981399505669e-08,2.3240488054446985e-07,2.055520433118035e-07,3.1527794804629577e-07,2.7884967940537e-07,2.5419283809551396e-09,2.248225473722851e-09,4.5697589605608416e-07,4.0417537255891157e-07,8.653373211762177e-09,7.653533527567153e-09
651,HRV,1053.0,2.7261578795149406e-09,2.411168479818758e-09,2.243336877457478e-08,1.9841342312511008e-08,4.589628347912219e-07,4.0593273374679226e-07,2.66402209560499e-07,2.3562120722099812e-07,1.2096940118378521e-07,1.069921919594732e-07,6.112073612322319e-07,5.405864183840196e-07,1.8742627329986476e-07,1.6577041479011424e-07
652,HRV,2511.0,3.8657069554916234e-11,3.1732696654289255e-11,1.0827858076581885e-09,8.888338917458677e-10,3.63767373849615e-09,2.9860824578797494e-09,4.238991333303071e-09,3.479690200230415e-09,inf,inf,inf,inf,3.158565439243155e-10,2.5927935071187557e-10
653,HRV,2514.0,2.2303350354458588e-11,1.830830581109999e-11,8.641956277541921e-10,7.093982555126011e-10,3.0039567397732578e-09,2.4658787922456402e-09,3.6835849497103045e-09,3.0237699120831808e-09,1.4801314326140697e-09,1.21500574928209e-09,inf,inf,8.569181978291984e-10,7.034243811633153e-10
654,HRV,2555.0,1.6326635882416644e-11,1.4692502820879787e-11,1.8532938301652671e-10,1.6677976420695318e-10,6.760607061837558e-10,6.083937869520576e-10,2.424258031914869e-09,2.1816140342058944e-09,2.666683860794718e-10,2.399775460743698e-10,inf,inf,1.4545548331607558e-11,1.3089684331329264e-11
