,ISO3,FBS Code2,EnergyI-BaU_high,EnergyI-HalfW_high
173,IRN,2903.0,5.970296559941111e-10,5.097179903945669e-10
174,IRN,2905.0,1.947439855899235e-10,1.7446310743430462e-10
175,IRN,2907.0,7.984903414355997e-10,6.10096994926297e-10
177,IRN,2913.0,8.782143847841499e-10,7.497812995610945e-10
178,IRN,2918.0,1.4882306311402003e-09,1.0340741827640738e-09
179,IRN,2919.0,1.0084891603991726e-09,7.007331945366728e-10
180,KAZ,2511.0,1.8278039970758577e-10,1.543831327145254e-10
181,KAZ,2514.0,4.3832648706136245e-10,3.702268751602777e-10
182,KAZ,2555.0,8.530282241758996e-10,7.221200648804404e-10
183,KAZ,2805.0,1.9470681215809844e-09,1.6445662483458475e-09
184,KAZ,2903.0,2.106625742745018e-09,1.7833369106860291e-09
185,KAZ,2905.0,4.7645874574255084e-11,4.024348009668772e-11
186,KAZ,2907.0,2.065443788123029e-10,1.6969812574262912e-10
188,KAZ,2913.0,5.414922558684495e-11,4.583933003128271e-11
189,KAZ,2918.0,5.225146269710387e-10,3.7345110927618054e-10
190,KAZ,2919.0,2.72685915459463e-09,1.948937931224108e-09
191,KGZ,2511.0,3.384607854720792e-10,2.8587658439194184e-10
192,KGZ,2514.0,4.3642190444696305e-10,3.68618193753546e-10
193,KGZ,2805.0,6.869276324022936e-09,5.802046609379239e-09
194,KGZ,2903.0,6.499263827900798e-10,5.501868149336929e-10
195,KGZ,2905.0,1.9412471524444742e-10,1.6396496410281771e-10
196,KGZ,2907.0,2.711462364908982e-10,2.2277540739313653e-10
198,KGZ,2913.0,1.1717703110233385e-09,9.919470763568357e-10
199,KGZ,2918.0,1.5069847036625266e-09,1.0770705358190867e-09
200,KGZ,2919.0,3.0748590599936334e-09,2.1976600606937335e-09
201,LKA,2514.0,2.299882899081866e-09,2.060370265573947e-09
202,LKA,2555.0,8.017310264958621e-10,6.844831300414916e-10
203,LKA,2805.0,8.899071294598549e-10,7.972311065895203e-10
204,LKA,2903.0,4.906481277947492e-09,4.1889406192724046e-09
205,LKA,2905.0,2.2034892480910017e-08,1.9740151679422483e-08
206,LKA,2907.0,7.715521551721475e-10,5.895145211814687e-10
208,LKA,2913.0,7.368345609305079e-11,6.290773462926037e-11
209,LKA,2918.0,7.3483059338597415e-09,5.105857448609766e-09
210,LKA,2919.0,1.8218402250349375e-09,1.2658776821347674e-09
211,MDV,2514.0,4.028673123578405e-09,3.6091221500240374e-09
212,MDV,2903.0,2.1454475329440546e-10,1.8316899236241819e-10
213,MDV,2905.0,3.0775980074170717e-09,2.7570931660925616e-09
214,MDV,2907.0,3.402074059615298e-10,2.599399206953843e-10
215,MDV,2913.0,5.19995346569569e-10,4.4394944272346403e-10
216,MDV,2918.0,3.536139444581777e-09,2.457032149307529e-09
217,MDV,2919.0,5.486184356820908e-10,3.811990888083114e-10
218,PAK,2511.0,9.066575025392262e-10,8.122370752167857e-10
219,PAK,2514.0,6.572493702740854e-10,5.888026125680252e-10
220,PAK,2555.0,0.0,0.0
221,PAK,2805.0,1.5692357667690843e-09,1.405813624170552e-09
222,PAK,2903.0,2.8223014287414302e-09,2.4095583830763454e-09
223,PAK,2905.0,7.841603969662233e-10,7.024969688651781e-10
224,PAK,2907.0,6.683256075330538e-10,5.106429265695675e-10
226,PAK,2913.0,4.3598220641376016e-10,3.722226724750891e-10
227,PAK,2918.0,3.0603424185056972e-09,2.1264318978369296e-09
228,PAK,2919.0,2.256350234374312e-09,1.5677902845290505e-09
229,BRN,2805.0,6.595542804764875e-09,5.908674865873691e-09
230,BRN,2903.0,1.9153535559594426e-07,1.6352456794011665e-07
231,BRN,2907.0,9.726908275389464e-10,7.431971560319071e-10
232,BRN,2913.0,4.921074778609141e-09,4.201399916319704e-09
233,BRN,2918.0,7.348021190982157e-09,5.105659599397235e-09
234,BRN,2919.0,3.572594188773666e-09,2.4823621680689486e-09
235,CPR,2511.0,6.265321929580989e-10,5.158096425210428e-10
236,CPR,2514.0,2.7339334918528795e-10,2.2507849923096458e-10
237,CPR,2555.0,1.6840057970719012e-09,1.5290374483548446e-09
238,CPR,2805.0,7.541492319828579e-10,6.208738355805641e-10
239,CPR,2903.0,2.15612390845174e-09,1.957709531076609e-09
240,CPR,2905.0,4.2511170451277443e-10,3.499847554535958e-10
241,CPR,2907.0,9.115359282164126e-10,6.647212677132305e-10
243,CPR,2913.0,5.26436755345937e-10,4.779921271731744e-10
244,CPR,2918.0,2.6183150704955042e-09,2.0258575780014624e-09
245,CPR,2919.0,2.7514768492069562e-09,2.1288882642403414e-09
246,IDN,2514.0,5.954372690482383e-10,5.334276995804015e-10
247,IDN,2555.0,1.8388622595796882e-09,1.5699407326838322e-09
248,IDN,2805.0,1.3263048623500284e-09,1.1881818428942862e-09
249,IDN,2903.0,2.073641893618803e-09,1.7703853873948704e-09
250,IDN,2907.0,1.3085527371778792e-10,9.998168433940826e-11
252,IDN,2913.0,9.400914410076915e-11,8.02609242751418e-11
253,IDN,2918.0,4.241145483347519e-09,2.9468947607375056e-09
254,IDN,2919.0,5.038515659979983e-10,3.500935173902462e-10
255,JPN,2511.0,6.34780187851431e-10,5.226000283069006e-10
