,ISO3,FBS Code2,EnergyI-BaU_low,EnergyI-HalfW_low
1516,BDI,2511.0,5.081594566841584e-11,4.5737995867505035e-11
1517,BDI,2514.0,4.129127123927955e-11,3.716510572546574e-11
1518,BDI,2555.0,4.237596513571199e-11,3.616179009179778e-11
1519,BDI,2731.0,2.792213560250362e-08,2.3619568757668695e-08
1520,BDI,2735.0,0.0,0.0
1521,BDI,2805.0,3.1259986439267945e-10,2.81362299130873e-10
1522,BDI,2903.0,5.231603460199461e-12,4.464420941573375e-12
1523,BDI,2905.0,4.267479242315442e-12,3.841037402379844e-12
1524,BDI,2907.0,2.352014740446482e-13,1.774215560797323e-13
1526,BDI,2913.0,1.63302638800186e-12,1.3935530970956794e-12
1527,BDI,2918.0,1.1135901714884119e-11,7.661204954799254e-12
1528,BDI,2919.0,7.439434951334077e-13,5.118133885277425e-13
1530,BEN,960.0,1.616014010578217e-08,1.3984610627366194e-08
1531,BEN,976.0,2.5908361627530687e-08,2.191610045777217e-08
1532,BEN,1016.0,1.4872445217648938e-08,1.2580726181324852e-08
1533,BEN,1049.0,4.2174634039548815e-09,3.5675876756264985e-09
1534,BEN,1052.0,7.448377061868237e-09,6.30064464446139e-09
1535,BEN,1053.0,1.4188629399083648e-09,1.200228064355817e-09
1536,BEN,2514.0,4.280885745778856e-11,3.8531042170763265e-11
1537,BEN,2555.0,2.8486081949367473e-11,2.430877297288178e-11
1538,BEN,2731.0,2.0125627267314702e-08,1.702443694847355e-08
1539,BEN,2735.0,9.507767864846001e-11,8.042700601867542e-11
1540,BEN,2805.0,7.933869098815216e-11,7.141051244481326e-11
1541,BEN,2903.0,2.6375483636167997e-12,2.250768094050937e-12
1542,BEN,2905.0,3.3005003406864905e-12,2.9706870344999662e-12
1543,BEN,2907.0,3.0714720999728125e-14,2.316930034754853e-14
1545,BEN,2913.0,2.5942955421576333e-13,2.2138580332304872e-13
1546,BEN,2918.0,1.2351781518161345e-11,8.497698003301773e-12
1547,BEN,2919.0,4.855272580147403e-12,3.3402987293080038e-12
1549,BFA,960.0,3.194647033007641e-08,2.764573484885648e-08
1550,BFA,976.0,1.493603290729334e-08,1.2634515541461136e-08
1551,BFA,1016.0,2.2418459708893692e-08,1.8963963146420694e-08
1552,BFA,1049.0,2.9432438537987416e-09,2.4897146681413537e-09
1553,BFA,1052.0,1.1905754501931066e-09,1.0071177615979703e-09
1554,BFA,1053.0,1.3662359269430663e-09,1.1557104325764937e-09
1555,BFA,2514.0,4.158470476771631e-11,3.7429216947533776e-11
1556,BFA,2555.0,2.5144202998614078e-11,2.1456960046796993e-11
