,ISO3,Supply-BaU2,Supply-HalfW2,Iron- 5 (mg/day),Iron- 10 (mg/day),Iron- 15 (mg/day),IrL2030,IrM2030,IrH2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
27,CHE,55549936157.865295,64427953585.207405,98005181387.33333,49002590693.666664,32609078590.72222,105217586763.4052,52608793381.7026,35003742931.82172,-6547345464.198631,42455245229.46803,-22940857567.143074,-15425362891.540741,33577227802.125923,-31818874994.485184,-2941142776.162697,49667650605.5399,-20546193226.04358,-11819160203.504807,40789633178.19779,-29424210653.38569
28,CHL,126010089869.16098,151329656211.8575,218190029375.99997,109095014687.99998,72613100843.55556,235040873010.0059,117520436505.00294,78205933893.57797,-16915075181.160995,92179939506.83899,-53396989025.60542,-42234641523.85753,66860373164.142456,-78716555368.30196,-8489653364.158035,109030783140.84491,-47804155975.58301,-33809219706.85457,83711216798.14838,-73123722318.27954
29,CIV,162878007755.1284,212832413963.99194,267155563152.66666,133577781576.33333,88946727270.77777,399363632114.9006,199681816057.4503,132959882263.99002,-29300226178.79506,104277555397.53827,-73931280484.35062,-79254632387.65862,54323149188.67471,-123885686693.21417,36803808302.3219,236485624359.7722,-29918125491.138367,-13150597906.541656,186531218150.90863,-79872531700.00192
30,CMR,167178563590.5492,199920319968.71548,263423848363.99997,131711924181.99998,87706994108.72223,397945983996.02686,198972991998.01343,132484959680.6215,-35466639408.54921,96245284773.45078,-79471569481.82697,-68208395786.7155,63503528395.284485,-112213325859.99326,31794428407.464233,230767420405.47766,-34693603909.92769,-947327970.7020569,198025664027.31137,-67435360288.09398
31,COD,152742257061.5624,190286311994.73495,851346850746.6665,425673425373.33325,283467972304.2778,1414623607725.7642,707311803862.8821,470980112798.98004,272931168311.77084,698604593685.1041,130725715242.71536,235387113378.5983,661060538751.9315,93181660309.54282,554569546801.3197,1261881350664.2017,318237855737.4176,517025491868.1471,1224337295731.0293,280693800804.2451
32,COG,14778550483.161709,16832929293.61406,57578124949.66666,28789062474.83333,19170370336.833332,87557941739.55339,43778970869.776695,29149074163.568184,14010511991.67162,42799574466.504944,4391819853.671623,11956133181.219269,40745195656.0526,2337441043.2192726,29000420386.614986,72779391256.39168,14370523680.406475,26946041576.162636,70725012445.93933,12316144869.954124
33,COL,235176070470.83307,269392683142.0917,605815290605.3334,302907645302.6667,201641335799.44443,655184515044.2563,327592257522.1282,218026026131.0221,67731574831.83362,370639220134.5003,-33534734671.38864,33514962160.57498,336422607463.2417,-67751347342.64728,92416187051.2951,420008444573.4233,-17150044339.810974,58199574380.03647,385791831902.1647,-51366657011.06961
34,COM,2606249464.1329994,3088072829.5066905,9129456260.666666,4564728130.333333,3039504950.1111116,12928374673.2426,6464187336.6213,4303838863.767589,1958478666.2003336,6523206796.533667,433255485.9781122,1476655300.8266425,6041383431.159975,-48567879.39557886,3857937872.4883003,10322125209.1096,1697589399.6345892,3376114507.1146092,9840301843.735909,1215766034.260898
35,CPR,12934181003382.07,15340624718698.764,17450924874784.0,8725462437392.0,5807322772644.557,17138348830821.193,8569174415410.597,5701463894648.21,-4208718565990.0703,4516743871401.93,-7126858230737.514,-6615162281306.764,2110300156085.2363,-9533301946054.207,-4365006587971.4736,4204167827439.123,-7232717108733.86,-6771450303288.167,1797724112122.4297,-9639160824050.555
36,CPV,3251990290.6098065,3535830318.9171715,6576122680.333334,3288061340.166667,2189117908.555556,7952881083.727249,3976440541.8636246,2647116039.053753,36071049.55686045,3324132389.7235274,-1062872382.0542507,-247768978.7505045,3040292361.4161625,-1346712410.3616157,724450251.253818,4700890793.117443,-604874251.5560536,440610222.9464531,4417050764.810078,-888714279.8634186
37,CRI,29001727540.429417,33716827819.06814,59676344531.66667,29838172265.833336,19861568285.888893,65881861414.952896,32940930707.476448,21922278775.411263,836444725.4039192,30674616991.237255,-9140159254.540524,-3878655553.2348022,25959516712.598534,-13855259533.179245,3939203167.0470314,36880133874.52348,-7079448765.018154,-775897111.5916901,32165033595.884758,-11794549043.656876
38,CUB,40986681867.64772,48361741535.120735,140164922292.6667,70082461146.33334,46640893424.27779,130797057334.7244,65398528667.3622,43510008551.11866,29095779278.685623,99178240425.01897,5654211556.630066,21720719611.21261,91803180757.54596,-1720848110.842949,24411846799.714478,89810375467.07668,2523326683.4709396,17036787132.241463,82435315799.60367,-4851732984.002075
39,CYP,9172708612.910912,10437149765.186579,14362896072.999998,7181448036.499999,4779672530.166667,15366307993.464529,7683153996.7322645,5112518670.724852,-1991260576.4109125,5190187460.089087,-4393036082.744245,-3255701728.6865797,3925746307.8134193,-5657477235.019912,-1489554616.178647,6193599380.5536175,-4060189942.18606,-2753995768.454314,4929158228.27795,-5324631094.461727
40,CZE,103904758319.07057,134018562946.85567,126101853255.33334,63050926627.66667,41955758295.0,120911802970.57336,60455901485.28668,40221106010.268585,-40853831691.4039,22197094936.26277,-61949000024.07057,-70967636319.189,-7916709691.522324,-92062804651.85567,-43448856833.78389,17007044651.502792,-63683652308.80199,-73562661461.56898,-13106759976.282303,-93797456936.58708
41,DEU,765900749674.3568,951871394806.3157,950096474381.0,475048237190.5,316082108622.9444,921708824012.5198,460854412006.2599,306604200323.98083,-290852512483.8568,184195724706.6432,-449818641051.4124,-476823157615.8157,-1774920425.3156738,-635789286183.3713,-305046337668.0969,155808074338.16296,-459296549350.376,-491016982800.0558,-30162570793.7959,-645267194482.3348
