,ISO3,FBS Code2,EnergyI-BaU,EnergyI-HalfW,ProteinI-BaU,ProteinI-HalfW,IronI-BaU,IronI-HalfW,ZincI-BaU,ZincI-HalfW,Vitamin AI-BaU,Vitamin AI-HalfW,Vitamin BI-BaU,Vitamin BI-HalfW,FolateI-BaU,FolateI-HalfW
1464,MAR,976.0,9.888515474108045e-09,8.662886385886168e-09,1.3324664976840103e-07,1.1673143367839475e-07,8.212053492752467e-07,7.194212982606594e-07,6.727434579744121e-07,5.893604716036712e-07,1.3101219991271061e-09,1.1477393204071322e-09,9.996954187745374e-08,8.757884695645759e-08,3.395173463430543e-08,2.9743597055681847e-08
1465,MAR,1016.0,1.5940023195363103e-08,1.3964341795427721e-08,1.6510897393874958e-07,1.4464459162416834e-07,1.0884013488004542e-06,9.534997696662931e-07,9.22742301111003e-07,8.08373283017673e-07,5.005107121153653e-08,4.384750618358605e-08,2.4745572149528447e-06,2.167848962227064e-06,6.216223101021342e-07,5.445755190905058e-07
1466,MAR,1049.0,1.2607751521580654e-07,1.1045087536032641e-07,2.550070878679147e-06,2.2340031075237803e-06,9.018250500142397e-06,7.900486143420996e-06,1.5708017920813606e-05,1.3761092345132462e-05,1.2775854875201731e-05,1.119235536984641e-05,6.608200987666848e-05,5.7891494958116876e-05,1.2775854875201731e-05,1.119235536984641e-05
1467,MAR,1052.0,1.3102697086462002e-09,1.1478687221141299e-09,1.4917879146227344e-08,1.3068887084267307e-08,1.0706775333508951e-07,9.379727272132605e-08,1.4524695649390568e-07,1.272443659816341e-07,1.1710535521025416e-09,1.0259076703895038e-09,2.1052648466068781e-07,1.8443284258500402e-07,3.986565283753332e-09,3.492451643879162e-09
1468,MAR,1053.0,9.38472704325111e-10,8.221539861176284e-10,7.590957084323266e-09,6.650098182463709e-09,1.632071822148297e-07,1.4297851690576657e-07,9.02104132616877e-08,7.902931061351552e-08,1.3864550556838236e-07,1.214611299135356e-07,2.2457543379999357e-07,1.9674049893175983e-07,1.0002887319444573e-07,8.763082447113838e-08
1469,MAR,2731.0,3.6142906606936786e-09,3.1663184874555705e-09,6.209301197564069e-08,5.439691220698262e-08,3.6772477169432446e-07,3.2214723502277813e-07,2.904766129664238e-07,2.5447357618784907e-07,inf,inf,3.928526207162372e-07,3.441606203250007e-07,1.600657095883726e-07,1.402264131629321e-07
1470,MAR,2735.0,1.2452834777322131e-08,1.090937190123418e-08,8.921288469001073e-08,7.815542042183411e-08,5.490984620688573e-07,4.81040617676376e-07,7.449834216979261e-07,6.526466746637708e-07,2.638340187632027e-07,2.3113319034205635e-07,5.058746081999498e-07,4.4317413142705683e-07,3.3574305307879283e-07,2.9412948094056367e-07
1471,TUN,960.0,1.2843605142327013e-09,1.1487010109696192e-09,2.487174253848907e-08,2.2244685570707378e-08,2.6115331039788065e-06,2.335692107845013e-06,2.1174591988786911e-07,1.8938043450300136e-07,1.703173725395539e-09,1.5232774275901473e-09,1.7410220765256632e-07,1.557128078341958e-07,1.566919827363896e-08,1.4014152333829356e-08
1472,TUN,976.0,8.336880399730232e-09,7.303568255992307e-09,1.2208459226185952e-07,1.069528540457812e-07,9.622002464209687e-07,8.429406251162682e-07,6.46123721485652e-07,5.660401103797679e-07,2.0500888042159943e-09,1.795991161504688e-09,1.4706175676279625e-07,1.2883423137484092e-07,4.469517947995067e-08,3.9155448848253766e-08
1473,TUN,1016.0,1.0836818804224893e-08,9.49365254382665e-09,9.463075315283453e-08,8.290177280101687e-08,7.004521902915076e-07,6.136348533941878e-07,5.29089367268535e-07,4.635115441371294e-07,3.449414422923738e-08,3.021877785585487e-08,1.6344695659602758e-06,1.4318857252311396e-06,3.69089050272812e-07,3.233424185015401e-07
