,ISO3,Supply-BaU2,Vitamin B12 (ug/day),VB122030,BaU_needed2030
75,JPN,223659732812.79462,101142669783.64633,94840975180.85452,-128818757631.9401
76,KAZ,49152090941.80703,13693949808.622522,16234401008.187763,-32917689933.619267
77,KEN,32686086462.998848,34473618689.393845,51288999911.27761,18602913448.278763
78,KGZ,17585025494.130512,4454191434.814571,5503072373.2342825,-12081953120.896229
79,KHM,13172339332.263178,11912535704.22657,14948170437.796968,1775831105.5337906
80,KIR,1900357433.965716,84590751.72283562,110364291.19902524,-1789993142.7666907
81,KOR,113815830522.53673,41533362131.74548,42856114399.998856,-70959716122.53787
82,KWT,10622417405.191637,3056609403.126667,4026290120.039896,-6596127285.151741
83,LBN,5598075574.362411,4484436321.336571,4341479437.767445,-1256596136.594966
84,LBY,6781615783.291229,4897893050.251047,5926156148.566,-855459634.7252293
85,LCA,222534482.09079686,142598456.43976724,150607641.45757008,-71926840.63322678
86,LKA,20522478149.22129,16512110140.142122,17401422184.2894,-3121055964.9318924
87,LTU,15415175927.559544,2371397490.306485,2144573713.218817,-13270602214.340727
88,LVA,6480680926.855355,1614133393.0752914,1392992234.512093,-5087688692.343262
89,MAR,117817480888.81735,27087132565.70604,32754112311.396168,-85063368577.42119
90,MDA,4672290767.362408,3325453769.4326477,3144202209.235869,-1528088558.1265388
91,MDG,8768445731.596346,17648991425.02505,26970519699.62342,18202073968.027077
92,MDV,1368673064.9795854,325691823.3446505,417596568.46394783,-951076496.5156376
93,MEX,188863779557.77643,97978649625.10019,117906151228.87921,-70957628328.89722
94,MKD,3256003585.434577,1700397673.9109333,1697002690.8385913,-1559000894.5959857
95,MLI,17578846887.08944,12270220083.029875,19913284697.468163,2334437810.378723
96,MLT,1126911139.557006,347417559.75381905,357157161.7920572,-769753977.7649486
97,MNG,24866630944.6692,2282631901.4367085,2843449898.1799045,-22023181046.489296
98,MRT,12275086071.634785,3051040023.303809,4633750336.998174,-7641335734.636611
