,ISO3,FBS Code2,EnergyI-BaU,EnergyI-HalfW,ProteinI-BaU,ProteinI-HalfW,IronI-BaU,IronI-HalfW,ZincI-BaU,ZincI-HalfW,Vitamin AI-BaU,Vitamin AI-HalfW,Vitamin BI-BaU,Vitamin BI-HalfW,FolateI-BaU,FolateI-HalfW
40,BGD,1016.0,1.706584816917515e-08,1.524760504765841e-08,2.220574115333838e-07,1.9839879479778782e-07,1.9727473880508107e-06,1.7625653722930277e-06,1.932446064543827e-06,1.7265578643367387e-06,inf,inf,4.948633419817281e-06,4.421392195865531e-06,1.501963891598489e-06,1.3419404642485278e-06
41,BGD,1052.0,8.546548794577655e-09,7.635975619168986e-09,9.730544878930042e-08,8.69382545430272e-08,6.983751300712025e-07,6.239682934520944e-07,9.474081502057035e-07,8.464686401793653e-07,7.63847798515378e-09,6.824653209632283e-09,1.3732095474927244e-06,1.226903967519289e-06,2.6003329311161795e-08,2.3232861990237554e-08
42,BGD,1053.0,5.920490500883914e-09,5.289704909536556e-09,5.2052993606026984e-08,4.6507122305621055e-08,6.843941703616133e-07,6.11476904232771e-07,6.654741980084746e-07,5.945727185694799e-07,2.3033717079975944e-07,2.0579640539011784e-07,1.5822573085848341e-06,1.4136791963641734e-06,2.2515745074756653e-07,2.011685471770155e-07
43,BGD,2511.0,4.770884240948384e-11,4.2740384888593766e-11,1.3363262672408264e-09,1.1971596063554262e-09,4.489455748333091e-09,4.02191830556599e-09,5.231575280387604e-09,4.686752596893247e-09,inf,inf,inf,inf,3.8981615139456304e-10,3.492202179921686e-10
44,BGD,2514.0,4.0912030995244306e-11,3.665140177375638e-11,1.5852326106497367e-09,1.4201445370565444e-09,5.510291919949525e-09,4.936443342845279e-09,6.7569642785097e-09,6.053285708826494e-09,2.715071147866213e-09,2.4323202995311046e-09,inf,inf,1.5718832961330704e-09,1.4081854365706397e-09
45,BGD,2555.0,4.9054717067083505e-11,4.188078691195617e-11,5.568373370710091e-10,4.754035341107017e-10,2.0312798607662664e-09,1.734218523591983e-09,7.283882161006829e-09,6.218662239143205e-09,8.012270454290305e-10,6.840528528952841e-10,inf,inf,4.370329338703803e-11,3.731197379428823e-11
46,BGD,2731.0,4.0504448948792243e-08,3.618899184628556e-08,6.928798523216261e-07,6.190584979399045e-07,4.425424123914354e-06,3.9539270794466e-06,3.264045298409106e-06,2.916284797242157e-06,inf,inf,4.404874085046657e-06,3.935566499107286e-06,1.7717133914547628e-06,1.5829500990957978e-06
47,BGD,2735.0,2.5939921911664116e-09,2.3176210192151947e-09,3.359813400111254e-08,3.001849497949846e-08,1.1975199935341504e-07,1.0699328692648103e-07,8.141201253731006e-08,7.273814937285456e-08,4.748070468969998e-10,4.2421977818875644e-10,1.0581567187328097e-07,9.454177469424818e-08,5.278924849454292e-09,4.716493454227131e-09
48,BGD,2805.0,3.6409613436881674e-10,3.2617871516997767e-10,1.848566599242568e-08,1.6560546002290016e-08,1.6475349834687114e-07,1.475958664150651e-07,1.13623107270769e-07,1.0179025714581751e-07,inf,inf,inf,inf,1.4644755626834632e-08,1.3119632765725771e-08
49,BGD,2903.0,8.433225844007125e-11,7.199921957969264e-11,1.4632766310631227e-09,1.2492820353034255e-09,1.7522458799930817e-09,1.4959914296720343e-09,7.510066267359276e-09,6.411768405632022e-09,4.945101034162185e-09,4.221912489814587e-09,inf,inf,1.474111833482739e-10,1.2585326605402055e-10
