,ISO3,Supply-BaU2,Vitamin A (ug RE/day),VA2030,BaU_needed2030
113,PER,5143762532482.034,6091962711698.495,7241285131279.149,2097522598797.1152
114,PHL,4557001709321.033,19750663341079.305,24770217717810.91,20213216008489.875
115,PNG,2198351009844.238,1524333679885.076,2062767919943.562,-135583089900.67603
116,POL,6530219434606.041,7494794045064.782,7124956069415.267,594736634809.2256
117,PRT,2549978456599.626,2020965867259.4712,1886039037331.8032,-663939419267.8228
118,PRY,806433149732.4032,1292313157087.674,1545014025954.7153,738580876222.3121
119,QAT,156765730155.48087,493063569051.02014,673283840443.7928,516518110288.312
120,ROU,6075853600666.358,3912132944604.145,3606244867046.4614,-2469608733619.897
121,RUS,31371724434155.773,28112221168037.707,27495419757738.277,-3876304676417.496
122,RWA,3731882096085.145,2210382059010.8286,3128099997303.0166,-603782098782.1284
123,SAU,3568208707043.0713,6143649167344.127,7922205839071.594,4353997132028.5225
124,SEN,880299198721.7228,2826784285204.4253,4312011923696.6,3431712724974.8774
125,SGP,734679449012.4567,1082495384798.9805,1256165544138.5923,521486095126.1356
126,SLB,330581942140.58685,112823322410.25548,151807080743.71033,-178774861396.87653
127,SLE,850510499441.1735,1382479163095.917,1899131780612.6433,1048621281171.4698
128,SLV,677672638079.2706,1231245045430.813,1325380399426.3596,647707761347.089
129,STP,5042363750.406975,37091841184.02261,52140312751.15201,47097949000.74503
130,SUR,52924056929.25205,108331798152.41187,121959454122.01208,69035397192.76004
131,SVK,790109456510.8077,1070711809304.2981,1060618629382.6926,270509172871.8849
132,SVN,396299525131.8874,402286495434.5121,397211979038.7857,912453906.8983154
133,SWE,1517978821129.5508,1876810491577.7305,2072747691209.4731,554768870079.9224
134,SWZ,35960342571.80574,253359510142.15573,326316877946.68475,290356535374.879
135,SYC,14505354661.633549,18340774004.182724,19266601131.73452,4761246470.100971
136,SYR,3682541014818.9575,3778741378135.5947,5212697671041.14,1530156656222.1821
137,TGO,227822510785.7917,1410992860453.3003,2055749510129.6467,1827926999343.855
138,THA,3917533489816.471,13545295965831.229,13737413135406.504,9819879645590.033
139,TON,29601931421.00377,20668254637.71317,23645853560.44572,-5956077860.558048
140,TTO,125657894396.29178,268204924505.77332,272765024502.63422,147107130106.34244
141,TUN,2796904917577.7515,2192280656220.464,2531210142558.4854,-265694775019.2661
142,TUR,15408091919456.746,15197950681133.062,17468626931117.32,2060535011660.5742
143,TZA,13176142777382.355,10123280117262.861,16245098341890.502,3068955564508.1465
144,UGA,8020850252333.473,7497145820443.813,12335399618546.775,4314549366213.3027
145,UKR,11532403209797.715,8789900874336.29,8083740145998.949,-3448663063798.7656
146,URY,1101870863537.2073,662039647428.9479,693237726281.5299,-408633137255.67737
147,USA,69442239393469.945,62117375019984.445,68920647922922.0,-521591470547.9453
148,VCT,36075118262.05739,21627829405.92414,22080306969.053566,-13994811293.003822
149,VEN,3296015517010.151,6060527075894.588,7248013915273.672,3951998398263.521
150,VUT,19240941716.302612,50802157913.82686,69721001774.35774,50480060058.05513
151,YEM,1376859382866.8503,5134585482976.236,7211236124085.206,5834376741218.355
152,ZAF,7165798148180.408,10763755123774.111,12752068074144.043,5586269925963.635
153,ZMB,824449765891.3578,3032543100817.6714,4820174025119.875,3995724259228.517
154,ZWE,250287379927.53717,2989425798947.011,4195625894338.316,3945338514410.779
