,ISO3,Supply-BaU2,Supply-HalfW2,Protein (g/year),Pr2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
48,EST,44052180459.0665,62846229903.02948,24587293621.152042,23279992528.47489,-19464886837.914455,-19464886837.914455,-19464886837.914455,-38258936281.87744,-38258936281.87744,-38258936281.87744,-20772187930.591606,-20772187930.591606,-20772187930.591606,-39566237374.55459,-39566237374.55459,-39566237374.55459
49,ETH,2955721053772.3726,3349357563849.4224,1423024835480.7336,2112042222625.8943,-1532696218291.639,-1532696218291.639,-1532696218291.639,-1926332728368.6887,-1926332728368.6887,-1926332728368.6887,-843678831146.4783,-843678831146.4783,-843678831146.4783,-1237315341223.528,-1237315341223.528,-1237315341223.528
50,FIN,238318767721.14798,284817606344.0832,101767523152.6053,106041372673.29396,-136551244568.54268,-136551244568.54268,-136551244568.54268,-183050083191.4779,-183050083191.4779,-183050083191.4779,-132277395047.85402,-132277395047.85402,-132277395047.85402,-178776233670.78925,-178776233670.78925,-178776233670.78925
51,FJI,15642773457.870502,18388926400.430996,16310908975.21431,18334523600.17408,668135517.3438072,668135517.3438072,668135517.3438072,-2078017425.2166862,-2078017425.2166862,-2078017425.2166862,2691750142.3035774,2691750142.3035774,2691750142.3035774,-54402800.256916046,-54402800.256916046,-54402800.256916046
52,FRA,2993164477082.2817,3830698739638.9756,1168262798361.9634,1226687189458.4255,-1824901678720.3184,-1824901678720.3184,-1824901678720.3184,-2662435941277.012,-2662435941277.012,-2662435941277.012,-1766477287623.8562,-1766477287623.8562,-1766477287623.8562,-2604011550180.55,-2604011550180.55,-2604011550180.55
53,GAB,22019673028.882206,26960322704.22967,28073562526.825397,39835144389.54386,6053889497.943192,6053889497.943192,6053889497.943192,1113239822.595726,1113239822.595726,1113239822.595726,17815471360.661655,17815471360.661655,17815471360.661655,12874821685.31419,12874821685.31419,12874821685.31419
54,GBR,2483503443700.785,2917822383573.135,1198318540501.2344,1295390605213.0986,-1285184903199.5508,-1285184903199.5508,-1285184903199.5508,-1719503843071.9004,-1719503843071.9004,-1719503843071.9004,-1188112838487.6865,-1188112838487.6865,-1188112838487.6865,-1622431778360.0361,-1622431778360.0361,-1622431778360.0361
55,GEO,133526351128.38968,150132250253.233,62449081403.91721,58780202419.47836,-71077269724.47247,-71077269724.47247,-71077269724.47247,-87683168849.3158,-87683168849.3158,-87683168849.3158,-74746148708.91132,-74746148708.91132,-74746148708.91132,-91352047833.75464,-91352047833.75464,-91352047833.75464
56,GHA,627954935597.0413,771242144032.7607,399418569700.6993,567900590799.803,-228536365896.34198,-228536365896.34198,-228536365896.34198,-371823574332.06146,-371823574332.06146,-371823574332.06146,-60054344797.23828,-60054344797.23828,-60054344797.23828,-203341553232.95776,-203341553232.95776,-203341553232.95776
57,GIN,306124465330.35205,348786327181.8269,170996820536.9242,260774469369.34732,-135127644793.42786,-135127644793.42786,-135127644793.42786,-177789506644.9027,-177789506644.9027,-177789506644.9027,-45349995961.00473,-45349995961.00473,-45349995961.00473,-88011857812.47958,-88011857812.47958,-88011857812.47958
