,ISO3,Supply-BaU2,Supply-HalfW2,Folate (ug DFE/day),Ft2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
20,BRA,53318902013139.98,64933174314658.78,27533871889668.367,30590041989310.688,-25785030123471.61,-25785030123471.61,-25785030123471.61,-37399302424990.414,-37399302424990.414,-37399302424990.414,-22728860023829.29,-22728860023829.29,-22728860023829.29,-34343132325348.094,-34343132325348.094,-34343132325348.094
21,BRB,48741747019.9418,52765485538.25244,38006717581.64626,38575641560.97073,-10735029438.29554,-10735029438.29554,-10735029438.29554,-14758767956.606178,-14758767956.606178,-14758767956.606178,-10166105458.97107,-10166105458.97107,-10166105458.97107,-14189843977.281708,-14189843977.281708,-14189843977.281708
22,BRN,47564893668.98834,51137542245.98651,55590284133.06769,66864210817.97073,8025390464.079346,8025390464.079346,8025390464.079346,4452741887.081177,4452741887.081177,4452741887.081177,19299317148.98239,19299317148.98239,19299317148.98239,15726668571.984222,15726668571.984222,15726668571.984222
23,BTN,53852830158.21328,64351100456.58236,103047466865.9347,123127506366.80139,49194636707.72141,49194636707.72141,49194636707.72141,38696366409.35233,38696366409.35233,38696366409.35233,69274676208.5881,69274676208.5881,69274676208.5881,58776405910.21903,58776405910.21903,58776405910.21903
24,BWA,53086059166.95244,64845343229.050766,283492844139.53375,372712106280.34503,230406784972.5813,230406784972.5813,230406784972.5813,218647500910.48297,218647500910.48297,218647500910.48297,319626047113.3926,319626047113.3926,319626047113.3926,307866763051.29425,307866763051.29425,307866763051.29425
25,CAF,502578878603.1462,619462141541.2064,563941565762.6725,770580774501.384,61362687159.526306,61362687159.526306,61362687159.526306,-55520575778.533936,-55520575778.533936,-55520575778.533936,268001895898.23785,268001895898.23785,268001895898.23785,151118632960.1776,151118632960.1776,151118632960.1776
26,CAN,7146002129372.591,11189572230071.826,4781197426302.723,5389575910040.153,-2364804703069.868,-2364804703069.868,-2364804703069.868,-6408374803769.104,-6408374803769.104,-6408374803769.104,-1756426219332.4375,-1756426219332.4375,-1756426219332.4375,-5799996320031.673,-5799996320031.673,-5799996320031.673
27,CHE,819267153133.4415,963255784290.9075,1099842289754.4324,1216716045990.4636,280575136620.99084,280575136620.99084,280575136620.99084,136586505463.5249,136586505463.5249,136586505463.5249,397448892857.0221,397448892857.0221,397448892857.0221,253460261699.55615,253460261699.55615,253460261699.55615
28,CHL,687551791021.1229,1082267352285.9017,2366058482428.4595,2638443119988.3984,1678506691407.3364,1678506691407.3364,1678506691407.3364,1283791130142.5576,1283791130142.5576,1283791130142.5576,1950891328967.2754,1950891328967.2754,1950891328967.2754,1556175767702.4966,1556175767702.4966,1556175767702.4966
29,CIV,2593096233950.7324,3334629375236.977,2816671460012.2944,4195712849906.6685,223575226061.562,223575226061.562,223575226061.562,-517957915224.6826,-517957915224.6826,-517957915224.6826,1602616615955.936,1602616615955.936,1602616615955.936,861083474669.6914,861083474669.6914,861083474669.6914
