,ISO3,FBS Code2,EnergyI-BaU_high,EnergyI-HalfW_high,ProteinI-BaU_high,ProteinI-HalfW_high,IronI-BaU_high,IronI-HalfW_high,ZincI-BaU_high,ZincI-HalfW_high,Vitamin AI-BaU_high,Vitamin AI-HalfW_high,Vitamin BI-BaU_high,Vitamin BI-HalfW_high,FolateI-BaU_high,FolateI-HalfW_high
1504,BEN,1016.0,2.807636988103662e-08,2.3750036827821352e-08,3.4195897607250217e-07,2.892659667093027e-07,3.1574621225315948e-06,2.670923698837082e-06,2.229709341794771e-06,1.8861298382712406e-06,5.245550275893659e-08,4.437254985688453e-08,6.744971804526679e-06,5.705628236089143e-06,1.2843148099242436e-06,1.0864126724167155e-06
1505,BEN,1049.0,8.017849204774861e-09,6.78236590770724e-09,1.6217073862646822e-07,1.3718158832830585e-07,5.735120372356607e-07,4.851386437512943e-07,9.989451233981393e-07,8.450160604880303e-07,8.124753860838526e-07,6.872797453143335e-07,4.202459014461482e-06,3.554895336675375e-06,8.124753860838526e-07,6.872797453143335e-07
1506,BEN,1052.0,2.0701400935193188e-08,1.751148872455946e-08,2.356926938560538e-07,1.993744270661755e-07,1.6916001907043577e-06,1.4309387929211448e-06,2.2948065281182543e-06,1.9411960943122152e-06,1.8501877085828912e-08,1.5650893047575023e-08,3.3261802037236134e-06,2.8136437391702244e-06,6.29851134836729e-08,5.327963590663837e-08
1507,BEN,1053.0,2.6417330017275633e-09,2.234664108862502e-09,2.1660998146721357e-08,1.8323220056289133e-08,4.6069246651484243e-07,3.897036223837991e-07,2.569849060507785e-07,2.1738568799175738e-07,inf,inf,6.745853886405439e-07,5.706374396550572e-07,3.7776781924704156e-07,3.195569675673378e-07
1508,BEN,2731.0,4.3436911116452494e-08,3.6743647525435016e-08,7.454224378547331e-07,6.305590938696038e-07,4.4982476292490635e-06,3.8051054074295774e-06,3.493364114811766e-06,2.955066012141656e-06,inf,inf,4.721963900909528e-06,3.994348878484844e-06,1.9175865190283997e-06,1.6221025239526707e-06
1509,BEN,2735.0,2.516803476790869e-10,2.128985175627876e-10,1.6300795584372074e-09,1.3788979739617626e-09,1.0392770933300904e-08,8.791332122167301e-09,1.4138388192207994e-08,1.1959781185165693e-08,inf,inf,8.975067233406477e-09,7.592084668664668e-09,5.9684196735326315e-09,5.048736273631821e-09
1510,BFA,960.0,7.03386763405944e-08,6.086945993219393e-08,1.3621140085317286e-06,1.178741886809601e-06,0.00014302197842266563,0.0001237679046285559,1.1596376220217373e-05,1.0035235156789457e-05,9.327520123426649e-08,8.071819686660499e-08,9.534798600977591e-06,8.251193676057162e-06,8.581318513552519e-07,7.426074111727659e-07
1511,BFA,976.0,2.684676507716056e-08,2.270990380850795e-08,4.1967491223732087e-07,3.5500652910550193e-07,4.480843251492656e-06,3.7903828982721815e-06,2.873763710857864e-06,2.4309408323271057e-06,7.1588330045691764e-09,6.055716897275164e-09,5.411087914271852e-07,4.5772846627631983e-07,1.5751705008444894e-07,1.3324499414869934e-07
1512,BFA,1016.0,4.2750535071519813e-08,3.616303627070527e-08,4.929995903005678e-07,4.1703248943331776e-07,3.806568002110881e-06,3.2200078080180164e-06,2.9906334801359883e-06,2.529801950633186e-06,9.606707489252785e-08,8.126394460202806e-08,8.382592605262571e-06,7.0909054101782785e-06,1.8469216314098973e-06,1.5623265026762576e-06
1513,BFA,1049.0,5.775095841133537e-09,4.88520202192376e-09,1.168083278041107e-07,9.88091444477519e-08,4.130892084010812e-07,3.494356269799583e-07,7.195201207103785e-07,6.086481064908601e-07,5.852097119015317e-07,4.950338048882743e-07,3.026946872796933e-06,2.560519754134667e-06,5.852097119015317e-07,4.950338048882743e-07
1514,BFA,1052.0,3.66649511642765e-09,3.101518978883346e-09,4.1744329946857966e-08,3.53118789142408e-08,2.9960502951380223e-07,2.5343840798875343e-07,4.0644094352995777e-07,3.4381180395015347e-07,3.2769300103072124e-09,2.771982587376991e-09,5.891110225578142e-07,4.983339563022955e-07,1.1155506418067104e-08,9.436536467666352e-09
1515,BFA,1053.0,3.934281247389793e-09,3.328041513644021e-09,3.225930052456509e-08,2.72884129516921e-08,6.861002722976975e-07,5.803779763442461e-07,3.8272259008636687e-07,3.2374824978815195e-07,inf,inf,1.0046468142526353e-06,8.498391686159296e-07,5.626022183767403e-07,4.7590993645109503e-07
1516,BFA,2731.0,6.259173362433526e-08,5.294687258338189e-08,1.0698108455975228e-06,9.049619694213037e-07,6.939294936989494e-06,5.870007804104688e-06,5.046608810625132e-06,4.268968731207259e-06,inf,inf,6.807564888285095e-06,5.758576250762271e-06,2.7312292045907558e-06,2.3103696976888775e-06
1517,BFA,2735.0,8.790156091470003e-08,7.43566678239683e-08,5.854934116070696e-07,4.952737888492749e-07,3.5092132803941474e-06,2.96847295427366e-06,4.736886303349818e-06,4.006971863899915e-06,8.576307784503657e-06,7.254770705463166e-06,3.4861840942121532e-06,2.9489923724799817e-06,3.0862268235024013e-06,2.610665161762924e-06
1518,CIV,960.0,6.066408129553354e-08,5.249728965415201e-08,1.1747647133311911e-06,1.0166141498258388e-06,0.00012335030139134563,0.00010674449134936773,1.000137543604668e-05,8.654958453062742e-06,8.044584693538142e-08,6.961597106311463e-08,8.223353460127907e-06,7.116299452747051e-06,7.401017918055093e-07,6.404669337806545e-07
1519,CIV,976.0,3.0008004119392306e-08,2.5384022435405694e-08,3.987822907616834e-07,3.373332853215445e-07,2.3667169733980083e-06,2.0020257432638312e-06,1.934959382161352e-06,1.6367983746256954e-06,3.912958430355587e-09,3.3100043638279647e-09,2.968270964604267e-07,2.5108853111355766e-07,1.0126210408502057e-07,8.565846337942327e-08
