,ISO3,FBS Code2,EnergyI-BaU_low,EnergyI-HalfW_low
877,TTO,2913.0,5.375882160917115e-11,4.8266563180913446e-11
878,TTO,2918.0,2.9508284154341514e-09,2.115511970847097e-09
879,TTO,2919.0,1.2365643698663746e-10,8.865194307783665e-11
880,URY,2511.0,1.87317630795006e-11,1.6365961733928583e-11
881,URY,2514.0,3.9382878415162794e-11,3.440886361732161e-11
882,URY,2555.0,1.7575193474476402e-11,1.5779627619439408e-11
883,URY,2805.0,3.050333454569492e-10,2.665079650075173e-10
884,URY,2903.0,2.1123446883143376e-09,1.8965374483022053e-09
885,URY,2905.0,2.709781543475744e-12,2.3675390757190975e-12
886,URY,2907.0,1.4132844962981242e-10,1.1123578274018865e-10
888,URY,2913.0,1.084870868533723e-10,9.740352699673454e-11
889,URY,2918.0,1.490051219611672e-09,1.068249572146006e-09
890,URY,2919.0,2.69264380152465e-10,1.9304139019260937e-10
891,VCT,2514.0,2.59107107340274e-10,2.263821609168519e-10
892,VCT,2903.0,1.182690551142419e-10,1.0618612257759463e-10
893,VCT,2907.0,1.0695571925429444e-11,8.418194058559629e-12
895,VCT,2913.0,2.766400168488422e-11,2.48377149124967e-11
896,VCT,2918.0,6.048263940025347e-10,4.336129712267229e-10
897,VCT,2919.0,1.0060000136416948e-11,7.212229150295168e-12
898,VEN,2511.0,5.051209912598101e-08,4.4132475831968106e-08
899,VEN,2514.0,2.3748366173705685e-11,2.074897330233334e-11
900,VEN,2555.0,1.6679388816771213e-10,1.4975342651602466e-10
901,VEN,2805.0,4.763758977234235e-10,4.162101388971487e-10
902,VEN,2903.0,1.9249315273160244e-10,1.7282713125222385e-10
903,VEN,2905.0,1.0332609474291834e-10,9.027612112655256e-11
904,VEN,2907.0,1.0973073680225048e-11,8.636608149900183e-12
906,VEN,2913.0,1.068723919660464e-11,9.595379706471316e-12
907,VEN,2918.0,1.0978894939262668e-10,7.871004477658042e-11
908,VEN,2919.0,2.102978937312037e-11,1.5076705555135994e-11
909,BDI,2511.0,5.081594566841584e-11,4.573799586750504e-11
910,BDI,2514.0,4.129127123927954e-11,3.716510572546574e-11
911,BDI,2555.0,4.237596513571199e-11,3.616179009179778e-11
912,BDI,2805.0,3.1259986439267945e-10,2.8136229913087307e-10
913,BDI,2903.0,5.23160346019946e-12,4.464420941573375e-12
914,BDI,2905.0,4.267479242315442e-12,3.841037402379844e-12
915,BDI,2907.0,2.352014740446482e-13,1.7742155607973227e-13
917,BDI,2913.0,1.63302638800186e-12,1.3935530970956794e-12
918,BDI,2918.0,1.1135901714884118e-11,7.661204954799254e-12
